beam_idx,beam_angle_world,measured_range_m,hit_world_x,hit_world_y,map_cell_state
273,-0.7662,2.5455,1.883,-1.765,free
274,-0.7575,2.5435,1.897,-1.748,free
275,-0.7488,2.5425,1.911,-1.731,free
276,-0.7401,2.5433,1.927,-1.715,free
277,-0.7314,2.5422,1.941,-1.698,free
278,-0.7227,2.5396,1.954,-1.68,free
279,-0.714,2.5362,1.966,-1.661,free
280,-0.7053,2.5386,1.982,-1.646,free
281,-0.6966,2.5384,1.996,-1.629,free
282,-0.6879,2.5365,2.009,-1.61,free
283,-0.6792,2.5352,2.022,-1.593,free
284,-0.6705,2.535,2.035,-1.575,free
285,-0.6618,2.5335,2.048,-1.557,free
286,-0.6531,2.5326,2.06,-1.539,free
287,-0.6444,2.531,2.073,-1.52,free
288,-0.6357,2.5315,2.086,-1.503,free
289,-0.627,2.8099,2.325,-1.649,free
290,-0.6183,2.8084,2.338,-1.628,free
291,-0.6096,2.8066,2.35,-1.607,free
292,-0.6009,2.8052,2.363,-1.586,free
293,-0.5922,2.8049,2.376,-1.566,free
294,-0.5835,3.1487,2.677,-1.735,free
295,-0.5748,3.1476,2.691,-1.711,free
296,-0.5661,3.1458,2.704,-1.687,free
297,-0.5574,3.1444,2.718,-1.663,free
298,-0.5487,3.1439,2.731,-1.64,free
299,-0.54,2.7983,2.449,-1.439,free
300,-0.5313,2.7996,2.463,-1.418,free
301,-0.5226,2.7971,2.473,-1.396,free
302,-0.5139,2.7976,2.485,-1.375,free
303,-0.5052,2.7961,2.496,-1.353,free
304,-0.4965,2.5147,2.26,-1.198,free
305,-0.4878,2.5136,2.27,-1.178,free
306,-0.4791,2.5138,2.28,-1.159,free
307,-0.4704,2.5125,2.289,-1.139,free
308,-0.4617,2.7923,2.549,-1.244,free
309,-0.453,2.7916,2.559,-1.222,free
310,-0.4443,2.792,2.57,-1.2,free
311,-0.4356,2.7904,2.579,-1.177,free
312,-0.4269,2.7906,2.589,-1.155,free
313,-0.4182,2.7889,2.598,-1.133,free
314,-0.4095,2.787,2.606,-1.11,free
315,-0.4008,2.7869,2.615,-1.087,free
316,-0.3921,2.7873,2.625,-1.065,free
317,-0.3834,2.7863,2.633,-1.042,free
318,-0.3747,2.7877,2.643,-1.02,free
319,-0.366,2.7858,2.65,-0.997,free
320,-0.3573,2.7856,2.659,-0.974,free
321,-0.3486,2.7842,2.666,-0.951,free
322,-0.3399,3.1279,2.998,-1.043,free
323,-0.3312,3.1264,3.006,-1.017,free
324,-0.3225,3.1301,3.018,-0.992,free
325,-0.3138,3.123,3.02,-0.964,free
326,-0.3051,3.1269,3.032,-0.939,free
327,-0.2964,3.1267,3.039,-0.913,free
328,-0.2877,3.127,3.048,-0.887,free
329,-0.279,3.1254,3.054,-0.861,free
330,-0.2703,3.1238,3.059,-0.834,free
331,-0.2616,3.1222,3.065,-0.808,free
332,-0.2529,2.7796,2.74,-0.696,free
333,-0.2442,2.7782,2.745,-0.672,free
334,-0.2355,2.7789,2.751,-0.648,free
335,-0.2268,2.7783,2.756,-0.625,free
336,-0.2181,2.7786,2.762,-0.601,free
337,-0.2094,2.7806,2.769,-0.578,free
338,-0.2007,2.4947,2.494,-0.497,free
339,-0.192,2.4958,2.499,-0.476,free
340,-0.1833,2.4937,2.501,-0.455,free
341,-0.1746,2.4936,2.505,-0.433,free
342,-0.1659,2.4938,2.509,-0.412,free
343,-0.1572,2.495,2.513,-0.391,free
344,-0.1485,2.4927,2.514,-0.369,free
345,-0.1398,2.4938,2.519,-0.348,free
346,-0.1311,2.4929,2.521,-0.326,free
347,-0.1224,2.4935,2.524,-0.304,free
348,-0.1137,2.4909,2.524,-0.283,free
349,-0.105,2.4922,2.528,-0.261,free
350,-0.0963,2.4928,2.53,-0.24,free
351,-0.0876,2.7731,2.812,-0.243,free
352,-0.0789,2.7732,2.814,-0.219,free
353,-0.0702,2.7714,2.814,-0.194,free
354,-0.0615,2.7717,2.816,-0.17,free
355,-0.0528,2.7749,2.82,-0.146,free
356,-0.0441,2.7748,2.821,-0.122,free
357,-0.0354,3.1176,3.165,-0.11,free
358,-0.0267,3.1177,3.166,-0.083,free
359,-0.018,3.1165,3.165,-0.056,free
360,-0.0093,3.1187,3.168,-0.029,free
361,-0.0006,3.547,3.596,-0.002,free
362,0.0081,3.1181,3.167,0.025,free
363,0.0168,3.1175,3.166,0.052,free
364,0.0255,3.1172,3.165,0.079,free
365,0.0342,3.1177,3.165,0.107,free
366,0.0429,2.7725,2.819,0.119,free
367,0.0516,2.7744,2.82,0.143,free
368,0.0603,2.7726,2.817,0.167,free
369,0.069,2.7726,2.815,0.191,free
370,0.0777,2.773,2.814,0.215,free
371,0.0864,2.7731,2.812,0.239,free
372,0.0951,2.7752,2.812,0.263,free
373,0.1038,2.4961,2.532,0.259,free
374,0.1125,2.4932,2.527,0.28,free
375,0.1212,2.4933,2.524,0.301,free
376,0.1299,2.494,2.522,0.323,free
377,0.1386,2.4933,2.518,0.344,free
378,0.1473,2.4958,2.518,0.366,free
379,0.156,2.4935,2.512,0.387,free
380,0.1647,2.496,2.511,0.409,free
381,0.1734,2.4984,2.51,0.431,free
382,0.1821,2.7765,2.78,0.503,free
383,0.1908,2.776,2.775,0.526,free
384,0.1995,2.7765,2.771,0.55,free
385,0.2082,2.7787,2.768,0.574,free
386,0.2169,2.7769,2.761,0.598,free
387,0.2256,2.7797,2.758,0.622,free
388,0.2343,2.7804,2.753,0.645,free
389,0.243,3.1226,3.08,0.751,free
390,0.2517,3.1244,3.075,0.778,free
391,0.2604,3.1255,3.069,0.805,free
392,0.2691,3.5538,3.475,0.945,free
393,0.2778,3.5509,3.464,0.974,free
394,0.2865,3.5544,3.459,1.004,free
395,0.2952,3.5561,3.451,1.035,free
396,0.3039,3.1274,3.033,0.936,free
397,0.3126,3.1277,3.025,0.962,free
398,0.3213,3.1293,3.018,0.988,free
399,0.33,3.1287,3.009,1.014,free
400,0.3387,3.1293,3.001,1.04,free
401,0.3474,3.1314,2.993,1.066,free
402,0.3561,3.1309,2.984,1.091,free
403,0.3648,3.1294,2.973,1.116,free
404,0.3735,3.1281,2.962,1.141,free
405,0.3822,3.1322,2.955,1.168,free
406,0.3909,3.129,2.942,1.192,free
407,0.3996,3.1342,2.936,1.219,free
408,0.4083,3.1335,2.925,1.244,free
409,0.417,3.1336,2.914,1.269,free
410,0.4257,3.1355,2.905,1.295,free
411,0.4344,3.133,2.891,1.319,free
412,0.4431,3.135,2.881,1.344,free
413,0.4518,3.1365,2.871,1.369,free
414,0.4605,3.1376,2.86,1.394,free
415,0.4692,3.1382,2.848,1.419,free
416,0.4779,3.1404,2.838,1.444,free
417,0.4866,3.5693,3.204,1.669,free
418,0.4953,3.5699,3.19,1.697,free
419,0.504,3.5722,3.177,1.725,free
420,0.5127,3.5684,3.159,1.75,free
421,0.5214,3.5674,3.142,1.777,free
422,0.5301,3.5727,3.131,1.806,free
423,0.5388,3.5713,3.114,1.832,free
424,0.5475,3.5729,3.1,1.86,free
425,0.5562,3.572,3.083,1.886,free
426,0.5649,3.5779,3.071,1.915,free
427,0.5736,3.5768,3.053,1.941,free
428,0.5823,3.1491,2.679,1.732,free
429,0.591,3.1495,2.664,1.755,free
430,0.5997,3.1515,2.651,1.779,free
431,0.6084,3.1512,2.635,1.801,free
432,0.6171,3.1489,2.617,1.822,free
433,0.6258,2.813,2.329,1.648,free
434,0.6345,2.8131,2.315,1.668,free
435,0.6432,2.8124,2.3,1.687,free
436,0.6519,2.814,2.286,1.707,free
437,0.6606,2.8161,2.273,1.728,free
438,0.6693,2.8137,2.256,1.746,free
439,0.678,2.8155,2.242,1.766,free
440,0.6867,2.8135,2.225,1.784,free
441,0.6954,2.818,2.213,1.805,free
442,0.7041,2.8208,2.199,1.826,free
443,0.7128,2.8212,2.183,1.845,free
444,0.7215,2.8209,2.167,1.863,free
445,0.7302,2.8235,2.153,1.883,free
446,0.7389,2.8245,2.137,1.902,free
447,0.7476,2.8267,2.122,1.922,free
448,0.7563,2.8259,2.105,1.939,free
449,0.765,2.8277,2.089,1.958,free
450,0.7737,2.8284,2.072,1.976,free
451,0.7824,3.1716,2.299,2.236,free
452,0.7911,3.1748,2.281,2.258,free
453,0.7998,3.176,2.262,2.278,free
454,0.8085,3.1764,2.243,2.297,free
455,0.8172,3.605,2.516,2.629,free
456,0.8259,3.6061,2.494,2.651,free
457,0.8346,3.607,2.471,2.673,free
458,0.8433,3.6095,2.449,2.696,free
459,0.852,3.6115,2.427,2.718,free
460,0.8607,3.1853,2.126,2.415,free
461,0.8694,3.1847,2.104,2.433,free
462,0.8781,3.1867,2.084,2.452,free
463,0.8868,3.1839,2.061,2.468,free
464,0.8955,3.1884,2.042,2.489,free
465,0.9042,3.1918,2.023,2.508,free
466,0.9129,2.8507,1.792,2.256,free
467,0.9216,2.852,1.773,2.272,free
468,0.9303,2.8524,1.754,2.287,free
469,0.939,2.8536,1.734,2.303,free
470,0.9477,2.8561,1.716,2.319,free
471,0.9564,2.8562,1.696,2.334,free
472,0.9651,2.8571,1.676,2.349,free
473,0.9738,2.8591,1.656,2.365,free
474,0.9825,2.859,1.636,2.378,free
475,0.9912,2.8624,1.617,2.395,free
476,0.9999,2.8632,1.596,2.409,free
477,1.0086,2.8657,1.577,2.425,free
478,1.0173,2.8665,1.556,2.438,free
479,1.026,2.868,1.535,2.453,free
480,1.0347,2.8701,1.515,2.467,free
481,1.0434,2.8721,1.495,2.482,free
482,1.0521,3.2113,1.641,2.789,free
483,1.0608,3.2132,1.618,2.804,free
484,1.0695,3.2179,1.596,2.822,free
485,1.0782,3.2191,1.571,2.836,free
486,1.0869,3.6455,1.745,3.227,free
487,1.0956,3.6466,1.717,3.243,free
488,1.1043,3.6499,1.691,3.26,free
489,1.113,3.6502,1.662,3.274,free
490,1.1217,3.6525,1.635,3.29,free
491,1.1304,3.651,1.606,3.303,free
492,1.1391,3.2287,1.4,2.932,free
493,1.1478,3.232,1.376,2.947,free
494,1.1565,3.2313,1.35,2.958,free
495,1.1652,3.2327,1.325,2.97,free
496,1.1739,3.2335,1.299,2.982,free
497,1.1826,3.2367,1.274,2.996,free
498,1.1913,2.8953,1.122,2.689,free
499,1.2,2.8993,1.1,2.702,free
500,1.2087,2.8993,1.076,2.711,free
501,1.2174,2.9027,1.054,2.723,free
502,1.2261,3.2425,1.145,3.052,free
503,1.2348,3.2452,1.119,3.064,free
504,1.2435,3.2483,1.093,3.076,free
505,1.2522,3.2487,1.067,3.085,free
506,1.2609,3.6732,1.169,3.498,free
507,1.2696,3.25,1.013,3.104,free
508,1.2783,3.2555,0.988,3.117,free
509,1.287,3.2543,0.96,3.124,free
510,1.2957,3.2572,0.934,3.135,free
511,1.3044,3.2568,0.907,3.142,free
512,1.3131,3.6836,0.988,3.562,free
513,1.3218,3.6873,0.958,3.574,free
514,1.3305,3.6883,0.927,3.582,free
515,1.3392,3.6892,0.896,3.591,free
516,1.3479,3.6889,0.865,3.598,free
517,1.3566,3.6936,0.834,3.609,free
518,1.3653,4.2387,0.914,4.149,free
519,1.374,3.6939,0.771,3.623,free
520,1.3827,3.6972,0.74,3.632,free
521,1.3914,3.6991,0.709,3.64,free
522,1.4001,3.6998,0.678,3.646,free
523,1.4088,3.2781,0.578,3.235,free
524,1.4175,3.2818,0.55,3.243,free
525,1.4262,3.2831,0.522,3.249,free
526,1.4349,3.2835,0.494,3.253,free
527,1.4436,3.2846,0.466,3.258,free
528,1.4523,3.2839,0.437,3.261,free
529,1.461,2.9499,0.372,2.932,free
530,1.4697,2.9517,0.347,2.937,free
531,1.4784,2.9537,0.322,2.941,free
532,1.4871,2.9533,0.296,2.943,free
533,1.4958,2.9545,0.271,2.946,free
534,1.5045,2.9588,0.245,2.952,free
535,1.5132,2.9582,0.219,2.953,free
536,1.5219,2.9624,0.194,2.959,free
537,1.5306,2.9612,0.168,2.959,free
538,1.5393,2.9675,0.143,2.966,free
539,1.548,2.9644,0.117,2.964,free
540,1.5567,2.967,0.091,2.967,free
541,1.5654,2.9674,0.065,2.967,free
542,1.5741,3.3096,0.038,3.31,free
543,1.5828,3.3119,0.009,3.312,free
544,1.5915,3.315,-0.019,3.314,free
545,1.6002,3.3141,-0.048,3.313,free
546,1.6089,3.7387,-0.093,3.736,free
547,1.6176,3.7431,-0.126,3.739,free
548,1.6263,4.2835,-0.188,4.277,free
549,1.635,3.7448,-0.191,3.737,free
550,1.6437,3.7454,-0.224,3.735,free
551,1.6524,3.7476,-0.256,3.735,free
552,1.6611,3.7488,-0.289,3.733,free
553,1.6698,3.3304,-0.28,3.314,free
554,1.6785,3.3308,-0.309,3.312,free
555,1.6872,3.3332,-0.338,3.311,free
556,1.6959,3.3312,-0.367,3.305,free
557,1.7046,3.3374,-0.396,3.308,free
558,1.7133,3.3391,-0.425,3.305,free
559,1.722,3.0034,-0.403,2.969,free
560,1.7307,3.0038,-0.429,2.965,free
561,1.7394,3.0068,-0.455,2.964,free
562,1.7481,3.0095,-0.482,2.962,free
563,1.7568,3.0087,-0.507,2.957,free
564,1.7655,3.013,-0.534,2.956,free
565,1.7742,3.0123,-0.559,2.95,free
566,1.7829,3.0145,-0.585,2.947,free
567,1.7916,3.0161,-0.611,2.943,free
568,1.8003,3.0192,-0.638,2.94,free
569,1.809,3.0212,-0.664,2.936,free
570,1.8177,3.018,-0.688,2.926,free
571,1.8264,3.0233,-0.715,2.925,free
572,1.8351,3.3622,-0.829,3.245,free
573,1.8438,3.3644,-0.858,3.24,free
574,1.8525,3.3644,-0.886,3.232,free
575,1.8612,3.3691,-0.916,3.228,free
576,1.8699,3.7881,-1.067,3.62,free
577,1.8786,3.792,-1.1,3.614,free
578,1.8873,4.3272,-1.298,4.112,free
579,1.896,3.7961,-1.164,3.597,free
580,1.9047,3.7945,-1.194,3.585,free
581,1.9134,3.7965,-1.226,3.576,free
582,1.9221,3.7974,-1.258,3.565,free
583,1.9308,3.8006,-1.29,3.557,free
584,1.9395,3.8003,-1.321,3.545,free
585,1.9482,3.8012,-1.352,3.534,free
586,1.9569,3.8028,-1.383,3.523,free
587,1.9656,3.3867,-1.253,3.126,free
